g_index=1
1	12	4	4	4	8	
1	12	12	12	4	8	
1	1	11	12	4	8	
2	1	11	11	8	8	
2	11	11	9	9	9	
2	2	5	5	9	9	
2	5	5	10	3	3	
6	5	10	10	10	3	
6	6	6	10	3	3	
6	7	7	7	7	7	


1	5	8	8	8	8	
1	5	5	11	11	8	
1	1	5	5	11	11	
7	1	3	3	11	6	
7	2	3	6	6	6	
7	2	3	3	10	6	
7	2	2	10	10	10	
7	2	12	4	10	9	
12	12	12	4	9	9	
12	4	4	4	9	9	


1	3	3	3	12	12	
1	3	2	3	12	7	
1	1	2	12	12	7	
9	1	2	2	5	7	
9	9	2	5	5	7	
9	9	5	5	6	7	
11	11	6	6	6	8	
4	11	11	10	6	8	
4	11	10	10	10	8	
4	4	4	10	8	8	


1	9	9	6	6	6	
1	9	9	9	6	7	
1	1	5	5	6	7	
8	1	11	5	5	7	
8	11	11	11	5	7	
8	12	12	11	10	7	
8	8	12	10	10	10	
3	3	12	12	10	4	
3	2	2	2	2	4	
3	3	2	4	4	4	


1	8	8	8	8	7	
1	8	9	9	9	7	
1	1	12	9	9	7	
6	1	12	12	12	7	
6	6	6	10	12	7	
6	11	10	10	10	5	
11	11	11	10	5	5	
3	3	11	5	5	4	
3	2	2	2	2	4	
3	3	2	4	4	4	


1	7	7	7	7	7	
1	12	12	9	9	8	
1	1	12	9	9	8	
6	1	12	12	9	8	
6	6	6	10	8	8	
6	11	10	10	10	5	
11	11	11	10	5	5	
3	3	11	5	5	4	
3	2	2	2	2	4	
3	3	2	4	4	4	


1	8	8	8	8	7	
1	6	6	6	8	7	
1	1	6	9	9	7	
11	1	6	9	9	7	
11	11	11	10	9	7	
12	11	10	10	10	5	
12	12	12	10	5	5	
3	3	12	5	5	4	
3	2	2	2	2	4	
3	3	2	4	4	4	


1	7	7	7	7	7	
1	6	6	6	9	8	
1	1	6	9	9	8	
11	1	6	9	9	8	
11	11	11	10	8	8	
12	11	10	10	10	5	
12	12	12	10	5	5	
3	3	12	5	5	4	
3	2	2	2	2	4	
3	3	2	4	4	4	


1	7	7	7	7	7	
1	6	6	6	8	8	
1	1	6	9	9	8	
11	1	6	9	9	8	
11	11	11	10	9	8	
12	11	10	10	10	5	
12	12	12	10	5	5	
3	3	12	5	5	4	
3	2	2	2	2	4	
3	3	2	4	4	4	


1	8	8	8	8	12	
1	8	4	12	12	12	
1	1	4	12	3	3	
6	1	4	4	4	3	
6	6	6	10	3	3	
6	11	10	10	10	7	
11	11	11	10	2	7	
11	5	5	2	2	7	
5	5	9	9	2	7	
5	9	9	9	2	7	


1	8	8	8	8	12	
1	8	4	12	12	12	
1	1	4	12	3	3	
11	1	4	4	4	3	
11	11	11	10	3	3	
6	11	10	10	10	7	
6	6	6	10	2	7	
6	5	5	2	2	7	
